"BUSSTAT_BSNM_ID","BUS_STOP_NAME","BUSSTAT_BSNM_ROUTEID","BUSSTAT_PATH_NUMBER","BUSSTAT_DT","BUSSTAT_TKCAR_ALL_ATTEND","BUSSTAT_TKCAR_ALL_WKDAY_NOON","BUSSTAT_TKCAR_ALL_LVFFC","BUSSTAT_TKCAR_ALL_RESTDE_NOON","BUSSTAT_TKCAR_PEPL_ATTEND","BUSSTAT_TKCAR_PEPL_WKDAY_NOON","BUSSTAT_TKCAR_PEPL_LVFFC","BUSSTAT_TKCAR_PEPL_RESTDE_NOON","BUSSTAT_TKCAR_CHILD_ATTEND","BUSSTAT_TKCAR_CHILD_WKDAY_NOON","BUSSTAT_TKCAR_CHILD_LVFFC","BUSSTAT_TKCAR_CHILD_RESTDE_NOON","BUSSTAT_TKCAR_YNGBGS_ATTEND","BUSSTAT_TKCAR_YNGBGS_WKDAY_NOON","BUSSTAT_TKCAR_YNGBGS_LVFFC","BUSSTAT_TKCAR_YNGBGS_RESTDE_NOON","BUSSTAT_GFF_ALL_ATTEND","BUSSTAT_GFF_ALL_WKDAY_NOON","BUSSTAT_GFF_ALL_LVFFC","BUSSTAT_GFF_ALL_RESTDE_NOON","BUSSTAT_GFF_PEPL_ATTEND","BUSSTAT_GFF_PEPL_WKDAY_NOON","BUSSTAT_GFF_PEPL_LVFFC","BUSSTAT_GFF_PEPL_RESTDE_NOON","BUSSTAT_GFF_CHILD_ATTEND","BUSSTAT_GFF_CHILD_WKDAY_NOON","BUSSTAT_GFF_CHILD_LVFFC","BUSSTAT_GFF_CHILD_RESTDE_NOON","BUSSTAT_GFF_YNGBGS_ATTEND","BUSSTAT_GFF_YNGBGS_WKDAY_NOON","BUSSTAT_GFF_YNGBGS_LVFFC","BUSSTAT_GFF_YNGBGS_RESTDE_NOON","BUSSTAT_TRNSIT_ALL_ATTEND","BUSSTAT_TRNSIT_ALL_WKDAY_NOON","BUSSTAT_TRNSIT_ALL_LVFFC","BUSSTAT_TRNSIT_ALL_RESTDE_NOON","BUSSTAT_TRNSIT_PEPL_ATTEND","BUSSTAT_TRNSIT_PEPL_WKDAY_NOON","BUSSTAT_TRNSIT_PEPL_LVFFC","BUSSTAT_TRNSIT_PEPL_RESTDE_NOON","BUSSTAT_TRNSIT_CHILD_ATTEND","BUSSTAT_TRNSIT_CHILD_WKDAY_NOON","BUSSTAT_TRNSIT_CHILD_LVFFC","BUSSTAT_TRNSIT_CHILD_RESTDE_NOON","BUSSTAT_TRNSIT_YNGBGS_ATTEND","BUSSTAT_TRNSIT_YNGBGS_WKDAY_NOON","BUSSTAT_TRNSIT_YNGBGS_LVFFC","BUSSTAT_TRNSIT_YNGBGS_RESTDE_NOON"
"00000005","4수원지","00000078","충효187","20220908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000006","4수원지","00000078","충효187","20220908","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000006","4수원지","00000087","1187","20220908","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000008","4수원지위","00000078","충효187","20220908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000009","4수원지위","00000087","1187","20220908","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000036","상무62(상무역행)","20220908","1","1","2","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000037","상무63","20220908","0","1","4","1","0","1","4","1","0","0","0","0","0","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000038","상무64","20220908","2","2","6","2","2","2","6","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000059","임곡89","20220908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000086","518","20220908","3","4","1","4","2","4","1","4","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00000011","5.18기념문화센터","00000095","금호46","20220908","3","2","5","2","3","2","3","2","0","0","0","0","0","0","2","0","3","1","2","1","3","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
